Risk Group,Precision,Recall,F1-Score,Support
RG1,0.719,0.801,0.758,4469
RG2,0.663,0.554,0.603,4469
RG3,0.757,0.565,0.647,4469
RG4,0.729,0.95,0.825,4469
Macro Avg,0.717,0.717,0.708,17876
