vVirusNameCorrected,vOrder,vFamily,vSubfamily,vGenus,vIsTypeSpecies,vICTVnumber,ReverseZoonoses,IsHoSa,IsHoSa.stringent,vGenomeMinLength,vGenomeMaxLength,vGenomeAveLength,vWOKcites,vPubMedCites,vCytoReplicTF,vSegmentedTF,vVectorYNna,vSSoDS,vDNAoRNA,vEnvelope,IsZoonotic,IsZoonotic.stringent
Human_herpesvirus_4,Herpesvirales,Herpesviridae,Gammaherpesvirinae,Lymphocryptovirus,1,00.031.3.01.001.,1,1,1,,,172764.0,1142,18860,False,False,N,DS,DNA,enveloped,1,1
Human_herpesvirus_5,Herpesvirales,Herpesviridae,Betaherpesvirinae,Cytomegalovirus,1,00.031.2.01.001.,0,1,1,,,235646.0,400,324,False,False,N,DS,DNA,enveloped,1,0
Human_herpesvirus_6,Herpesvirales,Herpesviridae,Betaherpesvirinae,Roseolovirus,1,00.031.2.03.001.,0,1,1,159322.0,162114.0,160718.0,2779,2530,False,False,N,DS,DNA,enveloped,0,0
Human_herpesvirus_7,Herpesvirales,Herpesviridae,Betaherpesvirinae,Roseolovirus,0,,0,1,1,,,153080.0,506,550,False,False,N,DS,DNA,enveloped,0,0
Human_herpesvirus_8,Herpesvirales,Herpesviridae,Gammaherpesvirinae,Rhadinovirus,0,,0,1,0,,,137969.0,3129,3711,False,False,N,DS,DNA,enveloped,0,0
Human_immunodeficiency_virus_1,Unassigned,Retroviridae,Orthoretrovirinae,Lentivirus,1,00.061.1.06.009.,0,1,1,,,9181.0,19705,5183,False,False,N,SS,RNA,enveloped,0,0
Human_immunodeficiency_virus_2,Unassigned,Retroviridae,Orthoretrovirinae,Lentivirus,0,00.061.1.06.010.,0,1,1,,,10359.0,1059,342,False,False,N,SS,RNA,enveloped,0,0
Human_metapneumovirus,Mononegavirales,Paramyxoviridae,Pneumovirinae,Metapneumovirus,0,,1,1,1,13281.0,13389.0,13335.0,1230,820,True,False,N,SS,RNA,enveloped,1,1
Human_norovirus-Alphatron,Unassigned,Caliciviridae,,Norovirus,Tentative in genus,,0,1,1,,,7800.0,0,0,True,False,N,SS,RNA,non-enveloped,1,1
Human_papillomavirus_1,Unassigned,Papillomaviridae,,Mupapillomavirus,1,,0,1,1,,,7815.0,11,7,False,False,N,DS,DNA,non-enveloped,0,0
Human_papillomavirus_10,Unassigned,Papillomaviridae,,Alphapapillomavirus,0,,0,1,1,,,7919.0,1,1,False,False,N,DS,DNA,non-enveloped,0,0
Human_papillomavirus_16,Unassigned,Papillomaviridae,,Alphapapillomavirus,0,,0,1,1,,,7905.0,2659,2492,False,False,N,DS,DNA,non-enveloped,0,0
Human_papillomavirus_18,Unassigned,Papillomaviridae,,Alphapapillomavirus,0,,0,1,1,,,7857.0,906,884,False,False,N,DS,DNA,non-enveloped,0,0
Human_papillomavirus_2,Unassigned,Papillomaviridae,,Alphapapillomavirus,0,,0,1,1,,,7859.0,8,8,False,False,N,DS,DNA,non-enveloped,0,0
Human_papillomavirus_26,Unassigned,Papillomaviridae,,Alphapapillomavirus,0,,0,1,1,,,7855.0,1,1,False,False,N,DS,DNA,non-enveloped,0,0
Human_papillomavirus_32,Unassigned,Papillomaviridae,,Alphapapillomavirus,1,,0,1,1,,,7961.0,2,2,False,False,N,DS,DNA,non-enveloped,0,0
Human_papillomavirus_34,Unassigned,Papillomaviridae,,Alphapapillomavirus,0,,0,1,1,,,7723.0,0,0,False,False,N,DS,DNA,non-enveloped,0,0
Human_papillomavirus_4,Unassigned,Papillomaviridae,,Gammapapillomavirus,1,,0,1,1,,,7353.0,1,1,False,False,N,DS,DNA,non-enveloped,0,0
Human_papillomavirus_41,Unassigned,Papillomaviridae,,Nupapillomavirus,1,,0,1,1,,,7614.0,1,1,False,False,N,DS,DNA,non-enveloped,0,0
Human_papillomavirus_48,Unassigned,Papillomaviridae,,Gammapapillomavirus,0,,0,1,1,,,7100.0,0,0,False,False,N,DS,DNA,non-enveloped,0,0
Human_papillomavirus_49,Unassigned,Papillomaviridae,,Betapapillomavirus,0,,0,1,1,,,7560.0,0,0,False,False,N,DS,DNA,non-enveloped,0,0
Human_papillomavirus_5,Unassigned,Papillomaviridae,,Betapapillomavirus,1,,0,1,1,,,7746.0,6,6,False,False,N,DS,DNA,non-enveloped,0,0
Human_papillomavirus_50,Unassigned,Papillomaviridae,,Gammapapillomavirus,0,,0,1,1,,,7184.0,1,1,False,False,N,DS,DNA,non-enveloped,0,0
Human_papillomavirus_53,Unassigned,Papillomaviridae,,Alphapapillomavirus,0,,0,1,1,,,7856.0,0,0,False,False,N,DS,DNA,non-enveloped,0,0
Human_papillomavirus_54,Unassigned,Papillomaviridae,,Alphapapillomavirus,0,,0,1,1,7717.0,7759.0,7738.0,0,0,False,False,N,DS,DNA,non-enveloped,0,0
Human_papillomavirus_6,Unassigned,Papillomaviridae,,Alphapapillomavirus,0,,0,1,1,,,8031.0,302,287,False,False,N,DS,DNA,non-enveloped,0,0
Human_papillomavirus_60,Unassigned,Papillomaviridae,,Gammapapillomavirus,0,,0,1,1,,,7313.0,4,3,False,False,N,DS,DNA,non-enveloped,0,0
Human_papillomavirus_61,Unassigned,Papillomaviridae,,Alphapapillomavirus,0,,0,1,1,,,7989.0,0,0,False,False,N,DS,DNA,non-enveloped,0,0
Human_papillomavirus_63,Unassigned,Papillomaviridae,,Mupapillomavirus,0,,0,1,1,,,7348.0,2,2,False,False,N,DS,DNA,non-enveloped,0,0
Human_papillomavirus_7,Unassigned,Papillomaviridae,,Alphapapillomavirus,0,,0,1,0,,,8027.0,2,2,False,False,N,DS,DNA,non-enveloped,0,0
Human_papillomavirus_71,Unassigned,Papillomaviridae,,Alphapapillomavirus,0,,0,1,0,8017.0,8038.0,8027.5,0,1,False,False,N,DS,DNA,non-enveloped,0,0
Human_papillomavirus_88,Unassigned,Papillomaviridae,,Gammapapillomavirus,0,,0,1,1,,,7326.0,1,1,False,False,N,DS,DNA,non-enveloped,0,0
Human_papillomavirus_9,Unassigned,Papillomaviridae,,Betapapillomavirus,0,,0,1,1,,,7434.0,1,1,False,False,N,DS,DNA,non-enveloped,0,0
Human_papillomavirus_cand90,Unassigned,Papillomaviridae,,Alphapapillomavirus,0,,0,1,1,8024.0,8033.0,8028.5,0,0,False,False,N,DS,DNA,non-enveloped,0,0
Human_papillomavirus_cand92,Unassigned,Papillomaviridae,,Betapapillomavirus,0,,0,1,1,,,7461.0,0,0,False,False,N,DS,DNA,non-enveloped,0,0
Human_papillomavirus_cand96,Unassigned,Papillomaviridae,,Betapapillomavirus,0,,0,1,1,,,7438.0,0,0,False,False,N,DS,DNA,non-enveloped,0,0
Human_parainfluenza_virus_1,Mononegavirales,Paramyxoviridae,Paramyxovirinae,Respirovirus,0,01.048.1.01.003.,0,1,1,,,15600.0,71,2706,True,False,N,SS,RNA,enveloped,1,0
Human_parainfluenza_virus_2,Mononegavirales,Paramyxoviridae,Paramyxovirinae,Rubulavirus,0,,0,1,0,,,15646.0,67,241,True,False,N,SS,RNA,enveloped,1,0
Human_parainfluenza_virus_3,Mononegavirales,Paramyxoviridae,Paramyxovirinae,Respirovirus,0,,0,1,1,,,15462.0,163,954,True,False,N,SS,RNA,enveloped,1,1
Human_parainfluenza_virus_4,Mononegavirales,Paramyxoviridae,Paramyxovirinae,Rubulavirus,0,,0,1,1,,,17304.0,4,25,True,False,N,SS,RNA,enveloped,0,0
Human_parechovirus,Picornavirales,Picornaviridae,,Parechovirus,1,00.052.0.06.001.,0,1,1,,,7348.0,122,89,True,False,N,SS,RNA,non-enveloped,0,0
Human_parvovirus_B19,Unassigned,Parvoviridae,Parvovirinae,Erythrovirus,1,00.050.1.02.001.,0,1,0,,,5594.0,1421,2425,False,False,,SS,DNA,non-enveloped,0,0
Human_picobirnavirus,Unassigned,Picobirnaviridae,,Picobirnavirus,1,,0,1,1,,,4270.0,12,7,True,True,,DS,RNA,non-enveloped,1,1
Human_polyomavirus,Unassigned,Polyomaviridae,,Polyomavirus,,,0,1,1,4926.0,5033.0,4984.25,784,517,True,False,N,DS,DNA,non-enveloped,0,0
