name,rg_label,genome_type,transmission_route,host_range,environmental_stability,treatment_available,infectious_dose,zoonotic
Acrocarpospora corrugata,1,,,,,,,
Actinoallomurus spadix,1,,,,,,,
Actinoalloteichus caeruleus,1,,,,,,,
Actinobacillus arthritidis,1,,,,,,,
Actinobacillus capsulatus,1,,,,,,,
Actinobacillus delphinicola,1,,,,,,,
Actinobacillus equuli,2,,,,,,,
Actinobacillus equuli subsp. equuli,2,,,,,,,
Actinobacillus equuli subsp. haemolyticus,2,,,,,,,
Actinobacillus hominis,1,,,,,,,
Actinobacillus indolicus,1,,,,,,,
Actinobacillus lignieresii,1,,,,,,,
Actinobacillus minor,1,,,,,,,
Actinobacillus pleuropneumoniae,1,,,,,,,
Actinobacillus porcinus,1,,,,,,,
Actinobacillus rossii,1,,,,,,,
Actinobacillus scotiae,1,,,,,,,
Actinobacillus seminis,1,,,,,,,
Actinobacillus succinogenes,1,,,,,,,
Actinobacillus suis,2,,,,,,,
Actinobacillus ureae,2,,,,,,,
Actinobaculum suis,2,,,,,,,
Actinocorallia aurantiaca,1,,,,,,,
Actinocorallia glomerata,1,,,,,,,
Actinocorallia herbida,1,,,,,,,
Actinocorallia libanotica,1,,,,,,,
Actinocorallia longicatena,1,,,,,,,
Actinokineospora diospyrosa,1,,,,,,,
Actinokineospora enzanensis,1,,,,,,,
Actinokineospora fastidiosa,1,,,,,,,
Actinokineospora inagensis,1,,,,,,,
Actinokineospora riparia,1,,,,,,,
Actinokineospora terrae,1,,,,,,,
Actinomadura atramentaria,1,,,,,,,
Actinomadura citrea,1,,,,,,,
Actinomadura coerulea,1,,,,,,,
Actinomadura cremea,1,,,,,,,
Actinomadura fibrosa,1,,,,,,,
Actinomadura formosensis,1,,,,,,,
Actinomadura fulvescens,1,,,,,,,
Actinomadura hibisca,1,,,,,,,
Actinomadura kijaniata,1,,,,,,,
Actinomadura latina,1,,,,,,,
Actinomadura livida,1,,,,,,,
Actinomadura luteofluorescens,1,,,,,,,
