Organism,Risk Group,Agent Type,Alternate Names
Alphabaculovirus trini,RG1,Virus,Trichoplusia ni single nucleopolyhedrovirus
Alphabaculovirus wisignatae,RG1,Virus,Wiseana signata nucleopolyhedrovirus
Alphacoronavirus suis,RG1,Virus,"Feline coronavirus,Canine coronavirus,Alphacoronavirus 1,Porcine transmissible gastroenteritis virus,Porcine respiratory coronavirus,Feline infectious peritonitis virus"
Alphacoronavirus porci,RG1,Virus,Porcine epidemic diarrhea virus
Alphainfluenzavirus influenzae (H1N1)pdm09,RG2,Virus,Influenza A (H1N1)pdm09
Alphainfluenzavirus influenzae (H1N2)v,RG2,Virus,Influenza A virus (H1N2)v
Alphainfluenzavirus influenzae A/American wigeon/South Carolina/22-000345-001/2021 (H5N1) IDCDC-RG78A,RG2,Virus,
Alphainfluenzavirus influenzae A/Anhui/01/2005(H5N1)-PR8 IDCDC RG6,RG2,Virus,Influenza A /Anhui/01/2005(H5N1)-PR8 IDCDC RG6
Alphainfluenzavirus influenzae A/Anhui/1/2013(H7N9)-PR8 NIBRG-268,RG2,Virus,Influenza A /Anhui/1/2013(H7N9)-PR8 NIBRG-268
Alphainfluenzavirus influenzae A/Ann Arbor/6/60 cold-adapted (H2N2),RG2,Virus,Influenza A /Ann Arbor/6/60 cold-adapted (H2N2)
Alphainfluenzavirus influenzae A/Astrakhan/3212/2020 (H5N8) IDCDC-RG71A,RG2,Virus,
Alphainfluenzavirus influenzae A/California/7/2009(H1N1)-PA(I38M),RG2,Virus,
Alphainfluenzavirus influenzae A/California/7/2009(H1N1)-PA(I38T),RG2,Virus,
Alphainfluenzavirus influenzae A/California/7/2009(H1N1)-PR8 NYMC X-181,RG2,Virus,Influenza A /California/7/2009(H1N1)-PR8 NYMC X-181
Alphainfluenzavirus influenzae A/California/7/2009(H1N1)-PR8 NYMC X-181A,RG2,Virus,Influenza A /California/7/2009(H1N1)-PR8 NYMC X-181A
Alphainfluenzavirus influenzae A/California/7/2009(H1N1)-PR8 NYMC X-181B,RG2,Virus,Influenza A /California/7/2009(H1N1)-PR8 NYMC X-181B
Alphainfluenzavirus influenzae A/California/7/2009(H1N1)-PR8 NYMC X179A,RG2,Virus,Influenza A /California/7/2009(H1N1)-PR8 NYMC X179A
Alphainfluenzavirus influenzae A/Chicken/Bangladesh/11rs1984-30/2011(H5N1)-PR8 IDCDC RG36,RG2,Virus,Influenza A /Chicken/Bangladesh/11rs1984-30/2011(H5N1)-PR8 IDCDC RG36
Alphainfluenzavirus influenzae A/Chicken/Hong Kong/G9/97(H9N2)-PR8 NIBRG-91,RG2,Virus,Influenza A /Chicken/Hong Kong/G9/97(H9N2)-PR8 NIBRG-91
Alphainfluenzavirus influenzae A/Chicken/Vietnam/NCVD-03/2008(H5N1)-PR8-IDCDC-25a,RG2,Virus,Influenza A /Chicken/Vietnam/NCVD-03/2008(H5N1)-PR8-IDCDC-25a
Alphainfluenzavirus influenzae A/Egypt/N03072/2010(H5N1)-PR8-IDCDC-29,RG2,Virus,Influenza A /Egypt/N03072/2010(H5N1)-PR8-IDCDC-29
Alphainfluenzavirus influenzae A/gyrfalcon/Washington/41088-6/2014(H5N8)-PR8 IDCDC-RG43A,RG2,Virus,Influenza A /gyrfalcon/Washington/41088-6/2014(H5N8)-PR8 IDCDC-RG43A
Alphainfluenzavirus influenzae A/Hong Kong/125/2017(H7N9)-IDCDC-RG56B,RG2,Virus,Influenza A /Hong Kong/125/2017(H7N9)-IDCDC-RG56B
Alphainfluenzavirus influenzae A/Hubei/1/2010(H5N1)-PR8-IDCDC-30,RG2,Virus,Influenza A /Hubei/1/2010(H5N1)-PR8-IDCDC-30
Alphainfluenzavirus influenzae A/India/NIV/2006(H5N1)-PR8-IBCDC-RG7,RG2,Virus,Influenza A /India/NIV/2006(H5N1)-PR8-IBCDC-RG7
Alphainfluenzavirus influenzae A/Indonesia/5/2005(H5N1)-PR8 IDCDC RG2,RG2,Virus,Influenza A /Indonesia/5/2005(H5N1)-PR8 IDCDC RG2
Alphainfluenzavirus influenzae A/Mallard/Netherlands/12/2000(H7N1)-PR8 NIBRG-63,RG2,Virus,Influenza A /Mallard/Netherlands/12/2000(H7N1)-PR8 NIBRG-63
Alphainfluenzavirus influenzae A/Mallard/Netherlands/12/2000(H7N3)-PR8 NIBRG-60,RG2,Virus,Influenza A /Mallard/Netherlands/12/2000(H7N3)-PR8 NIBRG-60
Alphainfluenzavirus influenzae A/Mallard/Netherlands/12/2000(H7N7)-IBCDC-1,RG2,Virus,Influenza A /Mallard/Netherlands/12/2000(H7N7)-IBCDC-1
Alphainfluenzavirus influenzae A/New Jersey/8/1976 H1N1,RG2,Virus,Influenza A /New Jersey/8/1976 H1N1
Alphainfluenzavirus influenzae A/NWS/G70c (H1N9),RG2,Virus,Influenza A /NWS/G70c (H1N9)
Alphainfluenzavirus influenzae A/pheasant/New Jersey/1355/1998(H5N2)/PR8-IBCDC-4,RG2,Virus,Influenza A /pheasant/New Jersey/1355/1998(H5N2)/PR8-IBCDC-4
Alphainfluenzavirus influenzae A/Puerto Rico/8/1934 (H1N1),RG2,Virus,"Influenza A virus (A/PR8/34 (H1N1)),Influenza A /Puerto Rico/8/1934 (H1N1)"
Alphainfluenzavirus influenzae A/Puerto Rico/8/1934 (H1N1)-NA(Bov),RG2,Virus,
Alphainfluenzavirus influenzae A/Puerto Rico/8/1934(H1N1)-PA(I38T),RG2,Virus,
Alphainfluenzavirus influenzae A/Shanghai/2/2013(H7N9)-PR8 IDCDC-RG32A,RG2,Virus,Influenza A /Shanghai/2/2013(H7N9)-PR8 IDCDC-RG32A
Alphainfluenzavirus influenzae A/Shanghai/2/2013(H7N9)-PR8 NIBRG-267,RG2,Virus,Influenza A /Shanghai/2/2013(H7N9)-PR8 NIBRG-267
Alphainfluenzavirus influenzae A/Sichuan/26221/2014(H5N6)-PR8 IDCDC RG42A,RG2,Virus,Influenza A /Sichuan/26221/2014(H5N6)-PR8 IDCDC RG42A
Alphainfluenzavirus influenzae A/Turkey/1/2005(H5N1)-PR8 NIBRG-23,RG2,Virus,Influenza A /Turkey/1/2005(H5N1)-PR8 NIBRG-23
Alphainfluenzavirus influenzae A/Turkey/Virginia/4529/2002(H7N2)-PR8-IBCDC-5,RG2,Virus,Influenza A /Turkey/Virginia/4529/2002(H7N2)-PR8-IBCDC-5
Alphainfluenzavirus influenzae A/Vietnam/1194/2004(H5N1)-PR8 NIBRG-14,RG2,Virus,Influenza A /Vietnam/1194/2004(H5N1)-PR8 NIBRG-14
Alphainfluenzavirus influenzae A/Vietnam/1203/2004(H5N1)-PR8 SJRG-161052,RG2,Virus,Influenza A /Vietnam/1203/2004(H5N1)-PR8 SJRG-161052
Alphainfluenzavirus influenzae cH6/1N5,RG2,Virus,Influenza A cH6/1N5
Alphainfluenzavirus influenzae H10N8,RG3,Virus,Influenza A virus H10N8
Alphainfluenzavirus influenzae H11N2,RG2,Virus,
Alphainfluenzavirus influenzae H11N6,RG2,Virus,
Alphainfluenzavirus influenzae H12N5,RG2,Virus,Influenza A H12N5
Alphainfluenzavirus influenzae H13N6,RG2,Virus,
Alphainfluenzavirus influenzae H14N5,RG2,Virus,
Alphainfluenzavirus influenzae H15N9,RG2,Virus,Influenza A H15N9
Alphainfluenzavirus influenzae H1N1 reconstructed 1918 strain,RG4,Virus,Influenza A virus H1N1 reconstructed 1918 strain
Alphainfluenzavirus influenzae H1N9,RG2,Virus,Influenza A H1N9
Alphainfluenzavirus influenzae H2N2,RG3,Virus,Influenza A H2N2
Alphainfluenzavirus influenzae H2N3,RG3,Virus,Influenza A virus H2N3
Alphainfluenzavirus influenzae H2N5,RG3,Virus,Influenza A virus H2N5
Alphainfluenzavirus influenzae H3N2,RG2,Virus,Influenza A H3N2
Alphainfluenzavirus influenzae H3N6,RG2,Virus,
Alphainfluenzavirus influenzae H3N8 (avian and zoonotic),RG3,Virus,Influenza A virus H3N8 (avian and zoonotic)
Alphainfluenzavirus influenzae H3N8 (canine),RG2,Virus,Influenza A virus H3N8 (canine)
Alphainfluenzavirus influenzae H3N8 (equine),RG2,Virus,Influenza A virus H3N8 (equine)
Alphainfluenzavirus influenzae H3N9,RG2,Virus,
Alphainfluenzavirus influenzae H4N3,RG2,Virus,
Alphainfluenzavirus influenzae H4N6,RG2,Virus,Influenza A virus H4N6
Alphainfluenzavirus influenzae H5N1,RG3,Virus,Influenza A virus H5N1
Alphainfluenzavirus influenzae H5N1 transmissible engineered strain,RG4,Virus,Influenza A H5N1 transmissible engineered strain
Alphainfluenzavirus influenzae H5N2,RG3,Virus,Influenza A H5N2
Alphainfluenzavirus influenzae H5N3,RG3,Virus,Influenza A virus H5N3
Alphainfluenzavirus influenzae H5N5,RG3,Virus,
Alphainfluenzavirus influenzae H5N6,RG3,Virus,Influenza A H5N6
Alphainfluenzavirus influenzae H5N9,RG3,Virus,
Alphainfluenzavirus influenzae H6N1,RG2,Virus,Influenza A H6N1
Alphainfluenzavirus influenzae H6N4,RG2,Virus,Influenza A H6N4
Alphainfluenzavirus influenzae H6N5,RG2,Virus,Influenza A H6N5
Alphainfluenzavirus influenzae H7N3,RG2,Virus,Influenza A H7N3
Alphainfluenzavirus influenzae H7N7,RG2,Virus,Influenza A H7N7
Alphainfluenzavirus influenzae H7N8,RG3,Virus,Influenza A virus H7N8
Alphainfluenzavirus influenzae H7N9,RG3,Virus,Influenza A H7N9
Alphainfluenzavirus influenzae H8N4,RG2,Virus,
Alphainfluenzavirus influenzae H9N2,RG2,Virus,Influenza A H9N2
Alphanodavirus nodamuraense,RG2,Virus,Nodamura virus
Alphapapillomavirus 1-14,RG2,Virus,"Human papillomaviruses 34, 73 (Alphapapillomavirus 11),Pan paniscus papillomavirus 1 (Alphapapillomavirus 10),Macaca mulatta papillomavirus 1 (Alphapapillomavirus 12),Papillomavirus,Human papillomaviruses 30, 53, 56, 66 (Alphapapillomavirus 6),Macaca fuscata papillomavirus 1 (Alphapapillomavirus 12),Human papillomaviruses 61, 62, 72, 81, 83, 84, 86, 87, 89, 102, 114 (Alphapapillomavirus 3),Human papillomavirus 54 (Alphapapillomavirus 13),Human papillomaviruses 18, 39, 45, 59, 68, 70, 85, 97 (Alphapapillomavirus 7),Human papillomaviruses 32, 42 (Alphapapillomavirus 1),Human papillomaviruses 26, 51, 69, 82 (Alphapapillomavirus 5),Colobus guereza papillomavirus 1 (Alphapapillomavirus 14),Human papillomaviruses 7, 40, 43, 91 (Alphapapillomavirus 8),Human papillomavirus (HPV),Human papillomaviruses 16, 31, 33, 35, 52, 58, 67 (Alphapapillomavirus 9),Papio hamadryas papillomavirus 1 (Alphapapillomavirus 12),Human papillomaviruses 71, 90, 106 (Alphapapillomavirus 14),Human papillomaviruses 2, 27, 57 (Alphapapillomavirus 4),Human papillomaviruses 3, 10, 28, 29, 77, 78, 94, 117, 125, 160 (Alphapapillomavirus 2),Human papillomaviruses 6, 11, 13, 44, 74 (Alphapapillomavirus 10),Macaca fascicularis papillomaviruses 3, 4, 5, 6, 7, 8, 9, 10, 11 (Alphapapillomavirus 12)"
Alphapolyomavirus muris,,Virus,"Mus musculus polyomavirus 1,Mouse polyomavirus,Murine polyomavirus"
Alphapolyomavirus nonihominis,RG2,Virus,Human polyomavirus 9
Alphapolyomavirus octihominis,RG2,Virus,"Trichodysplasia spinulosa-associated polyomavirus,Human polyomavirus TSPyV,Human polyomavirus 8"
Alphapolyomavirus quintihominis,RG2,Virus,"Human polyomavirus MCPyV,Merkel cell polyomavirus,Human polyomavirus 5"
Alpharetrovirus avileu,RG1,Virus,"Avian erythroblastosis virus,Avian leukosis virus"
Alpharetrovirus avimyebla,RG1,Virus,Avian myeloblastosis virus
Alpharetrovirus avimyecyt29,RG1,Virus,Avian myelocytomatosis virus 29
Alpharetrovirus avirousar,RG2,Virus,Rous sarcoma virus
Alpharetrovirus avisar10,RG2,Virus,Avian sarcoma virus CT10
Alphavirus aura,RG3,Virus,Aura virus
Alphavirus barmah,RG2,Virus,Barmah Forest virus
Alphavirus bebaru,RG2,Virus,Bebaru virus
Alphavirus cabassou,RG3,Virus,Cabassou virus
Alphavirus chikungunya,RG3,Virus,Chikungunya virus
Alphavirus chikungunya 181/clone 25,RG2,Virus,Chikungunya virus 181/clone 25
Alphavirus eastern,RG3,Virus,Eastern equine encephalitis virus
Alphavirus everglades,RG3,Virus,Everglades virus
Alphavirus fortmorgan,RG2,Virus,Fort Morgan Virus
Alphavirus getah,RG2,Virus,"Getah virus,Sagiyama virus"
Alphavirus highlandsj,RG2,Virus,Highlands J virus
Alphavirus mayaro,RG2,Virus,Mayaro virus
Alphavirus mucambo,RG3,Virus,Mucambo virus
Alphavirus ndumu,RG3,Virus,Ndumu virus
Alphavirus onyong,RG2,Virus,O'nyong-nyong virus
Alphavirus pixuna,RG3,Virus,Pixuna virus
Alphavirus rossriver,RG2,Virus,Ross River virus
Alphavirus salmon,RG1,Virus,"Salmon pancreas disease virus,Salmonid alphavirus"
Alphavirus semliki,RG2,Virus,Semliki Forest virus
Alphavirus sindbis,RG2,Virus,"Babanki virus,Sindbis virus,Ockelbo virus,Kyzylagach virus,Pogosta virus"
Alphavirus una,RG2,Virus,Una virus
Alphavirus venezuelan,RG3,Virus,Venezuelan equine encephalitis virus
Alphavirus venezuelan TC-83,RG2,Virus,"Venezuelan equine encephalitis virus TC-83,Venezuelan equine encephalitis virus Strain TC-83"
Alphavirus western,RG3,Virus,Western equine encephalitis virus
Alphavirus whataroa,RG2,Virus,Whataroa virus
Desulfovibrio inopinatus,RG1,Bacteria,Alteridesulfovibrio inopinatus
Alternaria alternata,RG2,Fungus,"Alternaria rot fungus,Alternaria tenuis,Torula alternata"
Alternaria botrytis,RG1,Fungus,"Ulocladium botrytis,Alternaria oudemansii,Stemphylium botryosum var. botrytis,Stemphylium botryosum var. ulocladium"
Alternaria brassicae,RG1,Fungus,Macrosporium brassicae
Alternaria brassicicola,RG1,Fungus,Helminthosporium brassicicola
Alternaria chartarum,RG1,Fungus,Ulocladium chartarum
Alternaria dauci,RG1,Fungus,
Alternaria gaisen,,Fungus,"Macrosporium nashi,Alternaria kikuchiana"
Alternaria scorzonerae,RG1,Fungus,Alternaria linicola
Alternaria malorum,,Fungus,"Chalastospora gossypii,Cladosporium malorum"
Alternaria padwickii,,Fungus,"Trichoconiella padwickii,Trichoconis padwickii"
Alternaria solani,RG1,Fungus,
Alterococcus agarolyticus,RG1,Bacteria,
Pseudoalteromonas atlantica,RG1,Bacteria,"Alteromonas atlantica,Pseudomonas atlantica"
Pseudoalteromonas aurantia,RG1,Bacteria,Alteromonas aurantia
Pseudoalteromonas carrageenovora,RG1,Bacteria,Alteromonas carrageenovora
Pseudoalteromonas citrea,RG1,Bacteria,"Alteromonas fuliginea,Alteromonas citrea"
Shewanella colwelliana,RG1,Bacteria,Alteromonas colwelliana
Marinomonas communis,RG1,Bacteria,"Oceanospirillum commune,Marinomonas basaltis,Alteromonas communis"
Pseudoalteromonas denitrificans,RG1,Bacteria,Alteromonas denitrificans
Pseudoalteromonas distincta,RG1,Bacteria,Alteromonas distincta
Pseudoalteromonas elyakovii,RG1,Bacteria,Alteromonas elyakovii
Pseudoalteromonas espejiana,RG1,Bacteria,Alteromonas espejiana
Pseudoalteromonas haloplanktis,RG1,Bacteria,"Alteromonas haloplanktis,Pseudoalteromonas haloplanktis,Alteromonas marinopraesens,Pseudoalteromonas haloplanktis subsp. haloplanktis,Vibrio haloplanktis,Vibrio marinopraesens"
Shewanella hanedai,RG1,Bacteria,Alteromonas hanedai
Pseudoalteromonas luteoviolacea,RG1,Bacteria,Alteromonas luteiviolacea
Alteromonas macleodii,RG1,Bacteria,Pseudoalteromonas macleodii
Alteromonas nigrifaciens,RG1,Bacteria,Pseudoalteromonas nigrifaciens
Pseudoalteromonas rubra,RG1,Bacteria,Alteromonas rubra
Pseudoalteromonas tetraodonis,RG1,Bacteria,"Pseudoalteromonas haloplanktis subsp. tetraodonis,Alteromonas tetraodonis"
Pseudoalteromonas undina,RG1,Bacteria,Alteromonas undina
Oceanospirillum vagum,RG1,Bacteria,"Marinomonas vaga,Alteromonas vaga"
Scytalidium cuboideum,RG1,Fungus,"Geotrichum cuboideum,Oospora cuboidea,Arthrographis cuboidea,Geotrichum microsporum,Alysidium cuboideum,Coremiella cuboidea"
Alysiella crassa,RG1,Bacteria,Simonsiella crassa
Alysiella filiformis,RG1,Bacteria,"Simonsiella filiformis,Caryophanon filiformis"
Mammarenavirus amapariense,RG2,Virus,"Serra do Navio mammarenavirus,Amapari virus,Amapari mammarenavirus"
Amaricoccus kaplicensis,RG1,Bacteria,
Amaricoccus macauensis,RG1,Bacteria,
Amaricoccus tamworthensis,RG1,Bacteria,
Amaricoccus veronensis,RG1,Bacteria,
Angiostrongylus costaricensis,RG2,Parasite,"Angiostrongylus (Parastrongylus) costaricensis,American Rat Lungworm"
Rhizobium etli,RG1,Bacteria,American Rhizobium leguminosarum biovar phaseoli type
Desulfovibrio aminophilus,RG1,Bacteria,Aminidesulfovibrio aminophilus
Aminobacter aganoensis,RG1,Bacteria,
Aminobacter aminovorans,RG1,Bacteria,"Aminobacter heintzii,Chelatobacter heintzii,Pseudomonas aminovorans"
Aminobacter niigataensis,RG1,Bacteria,
Ammonifex degensii,RG1,Bacteria,
Ammoniphilus oxalaticus,RG1,Bacteria,
Ammoniphilus oxalivorans,RG1,Bacteria,
Amoeba proteus,RG1,Other,Volvox proteus
Thiohalocapsa halophila,RG1,Bacteria,"Rhodocapsa suspensa,Amoebobacter bacillosus"
Thiomicrorhabdus chilensis,RG1,Bacteria,"Amoebobacter pedioformis,Thiomicrospira chilensis"
Lamprocystis purpurea,RG1,Bacteria,"Pfennigia purpurea,Amoebobacter purpureus"
Thiococcus pfennigii,RG1,Bacteria,"Amoebobacter roseus,Thiocapsa pfennigii,Rhodothece conspicua"
Pelagirhabdus fermentum,RG1,Bacteria,Amphibacillus fermentum
Amphibacillus sediminis,RG1,Bacteria,
Amphibacillus tropicus,RG1,Bacteria,
Amphibacillus xylanus,RG1,Bacteria,
Monilicaryon monilatum,RG1,Other,"Monilicaryon monilatus,Amphileptus monilatus,Dileptus monilatus"
Amphitetranychus viennensis,,Parasite,Tetranychus viennensis
Campylobacter jejuni,RG2,Bacteria,"Vibrio hepaticus,Vibrio jejuni,Campylobacter fetus subsp. jejuni,Ampylobacter jejuni"
Pseudonocardia alni,RG1,Bacteria,Amycolata alni
Pseudonocardia autotrophica,RG2,Bacteria,"Amycolata autotrophica,Nocardia autotrophica,Streptomyces autotrophicus"
Pseudonocardia hydrocarbonoxydans,RG1,Bacteria,"Amycolata hydrocarbonoxydans,Nocardia hydrocarbonoxydans"
Pseudonocardia saturnea,RG1,Bacteria,"Amycolata saturnea,Nocardia saturnea"
Amycolatopsis azurea,RG1,Bacteria,Pseudonocardia azurea
Amycolatopsis coloradensis,RG1,Bacteria,
Amycolatopsis thermoflava,RG1,Bacteria,Amycolatopsis eurytherma
Amycolatopsis japonica,RG1,Bacteria,Amycolatopsis japonicum
Amycolatopsis mediterranei,RG1,Bacteria,"Nocardia mediterranea,Nocardia mediterranei,Streptomyces mediterranei"
Amycolatopsis methanolica,RG1,Bacteria,
Prauserella rugosa,RG1,Bacteria,"Amycolatopsis rugosa,Prauserella rugosa,Proactinomyces rugosa,Nocardia rugosa"
Amycolatopsis sulphurea,RG1,Bacteria,Nocardia sulphurea
Amylolactobacillus amylophilus,RG1,Bacteria,Lactobacillus amylolyticus
Rhizopus arrhizus,RG1,Fungus,"Mucor rouxii,Chlamydomucor oryzae,Chlamydomucor rouxii,Rhizopus arrhizus var. rouxii,Rhizopus chlamydosporus,Rhizopus oryzae var. rouxii,Amylomyces rouxii"
Anaeroarcus burkinensis,RG1,Bacteria,"Anaeroarcus burkinabensis,Anaerovibrio burkinabensis"
Anaerobiospirillum succiniciproducens,RG2,Bacteria,
Anaerobiospirillum thomasii,RG2,Bacteria,
Anaerobranca horikoshii,RG1,Bacteria,
Anaerococcus hydrogenalis,RG2,Bacteria,Peptostreptococcus hydrogenalis
Anaerococcus lactolyticus,RG2,Bacteria,Peptostreptococcus lactolyticus
Anaerococcus octavius,RG2,Bacteria,Peptostreptococcus octavus
Anaerococcus prevotii,RG2,Bacteria,"Peptostreptococcus prevotii,Peptococcus prevotii,Micrococcus prevotii"
Anaerococcus tetradius,RG2,Bacteria,"Peptostreptococcus tetradius,Tetracoccus anaerobius,Gaffkya anaerobius"
Anaerococcus vaginalis,RG2,Bacteria,Peptostreptococcus vaginalis
Anaerocolumna aminovalerica,RG1,Bacteria,Clostridium aminovalericum
Anaerofilum agile,RG1,Bacteria,
Anaerofilum pentosovorans,RG1,Bacteria,
Anaerofustis stercorihominis,RG1,Bacteria,
Anaerolinea thermolimosa,RG1,Bacteria,
Anaeromicropila populeti,RG1,Bacteria,Clostridium populeti
Anaeromyxobacter dehalogenans,RG1,Bacteria,
Fastidiosipila sanguinis,RG1,Bacteria,Anaeropila fastidiosa
Anaeroplasma abactoclasticum,RG1,Bacteria,
Anaeroplasma intermedium,RG1,Bacteria,
Anaeroplasma varium,RG1,Bacteria,
Anaerorhabdus furcosa,RG2,Bacteria,"Anaerorhabdus furcosus,Fusiformis furcosus,Bacillus furcosus,Bacteroides furcosus,Ristella furcosa,Pseudobacterium furcosum"
Anaerosinus glycerini,RG1,Bacteria,Anaerovibrio glycerini
Anaerospora hongkongensis,RG2,Bacteria,
Anaerosporobacter mobilis,RG1,Bacteria,
Anaerostipes butyraticus,RG1,Bacteria,
Anaerostipes caccae,RG1,Bacteria,
Anaerostipes coli,RG1,Bacteria,
Anaerostipes hadrus,RG1,Bacteria,Eubacterium hadrum
Anaerotignum neopropionicum,RG1,Bacteria,Clostridium neopropionicum
Anaerotignum propionicum,RG1,Bacteria,Clostridium propionicum
Anaerotruncus colihominis,RG2,Bacteria,
Anaerovibrio lipolyticus,RG1,Bacteria,Anaerovibrio lipolytica
Aspergillus fischeri,RG2,Fungus,"Aspergillus fischeri var. thermomutatus,Neosartorya pseudofischeri,Anamorph: Aspergillus thermomutatus"
Metschnikowia pulcherrima,RG1,Fungus,"Anamorph: Asporomyces uvae,Candida pulcherrima"
Drechslera ellisii,,Fungus,"Cochliobolus ellisii,Anamorph: Bipolaris ellisii"
Sporobolomyces salmonicolor,RG1,Fungus,"Sporidiobolus salmonicolor,Sporobolomyces salmonicolor var. salmonicolor,Prosporobolomyces salmonicolor,Anamorph: Blastoderma salmonicolor"
Wickerhamomyces anomalus,RG2,Fungus,"Candida guilliermondii var. carpophila,Pichia anomala,Hansenula anomala,Saccharomyces anomalus,Candida pelliculosa,Willia anomala,Anamorph: Candida beverwijkiae,Endomyces anomalus"
Starmerella bombicola,RG1,Fungus,Anamorph: Candida bombicola
Citeromyces matritensis,RG1,Fungus,"Hansunela matritensis,Anamorph: Candida globosa"
Meyerozyma guilliermondii,,Fungus,"Anamorph: Candida guilliermondii,Yamadazyma guilliermondii,Pichia guilliermondii"
Kluyveromyces marxianus,RG1,Fungus,"Candida pseudotropicalis,Kluyveromyces cicerisporus,Kluyveromyces fragilis,Anamorph: Candida kefyr"
Yarrowia lipolytica,RG1,Fungus,"Candida oleae,Candida oleophila,Candida lipolytica var. thermotolerans,Saccharomycopsis lipolytica,Mycotorula lipolytica,Candida pseudolipolytica,Anamorph: Candida lipolytica,Endomycopsis lipolytica,Azymoprocandida lipolytica"
Leptosphaeria coniothyrium,RG1,Fungus,"Anamorph: Coniothyrium fuckelii,Sphaeria coniothyrium,Diapleella coniothyrium,Kalmusia coniothyrium,Melanomma coniothyrium"
Phaffia rhodozyma,,Fungus,"Xanthophyllomyces dendrorhous,Anamorph: Cryptococcus rhodozymus"
Ascotricha chartarum,RG2,Fungus,"Anamorph: Dicyma ampullifera,Chaetomium chartarum"
Sphaeronaemella fimicola,,Fungus,"Viennotidea fimicola,Anamorph: Gabarnaudia fimicola,Ceratocystis fimicola"
Magnusiomyces capitatus,RG2,Fungus,"Blastoschizomyces capitatus,Blastoschizomyces pseudotrichosporon,Anamorph: Geotrichum capitatum,Dipodascus capitatus"
Ophiostoma ulmi,,Fungus,"Anamorph: Graphium ulmi,Ceratocystis ulmi,Ceratostomella ulmi"
Microsporum canis,RG2,Fungus,"Microsporum audouinii var. canis,Teleomorph: Arthroderma otae,Sabouraudites canis,Anamorph: Microsporum equinum,Nannizzia otae,Sporotrichum audouinii var. canis"
Monilinia fructigena,,Fungus,"Anamorph: Monilia fructigena,Sclerotinia fructigena"
Sclerotinia mali,,Fungus,"Monilia japonica Batra,Anamorph: Monilia japonica,Monilinia mali"
Rhodotorula toruloides,,Fungus,"Anamorph: Mycotorula rubescens,Rhodosporidium toruloides,Rhodotorula gracilis"
Arachnomyces kanei,,Fungus,Anamorph: Onychocola kanei
Sporobolomyces johnsonii,RG1,Fungus,"Anamorph: Sporobolomyces holsaticus,Sporidiobolus johnsonii"
Trichophyton benhamiae,RG2,Fungus,"Anamorph: Trichophyton mentagrophytes,Arthroderma benhamiae"
Anaplasma aquaticum,RG2,Bacteria,Comamonas terrigena
Anaplasma bovis,,Bacteria,"Rickettsia bovis,Ehrlichia bovis,Kurlovia bovis"
Anaplasma caudatum,RG1,Bacteria,
Anaplasma centrale,RG1,Bacteria,
Anaplasma marginale,RG1,Bacteria,
Anaplasma ovis,RG2,Bacteria,
Anaplasma phagocytophilum,RG2,Bacteria,"Anaplasma phagocytophila,Rickettsia phagocytophila,Cytoecetes bovis,Cytoecetes phagocytophilia,Ehrlichia equi,Ehrlichia phagocytophila"
Mardivirus anatidalpha1,,Virus,Anatid alphaherpesvirus 1
Anatoxin-a,Unregulated Toxins,Toxin,
Ancalochloris perfilievii,RG1,Bacteria,
Ancalomicrobium adetum,RG1,Bacteria,
Ancylobacter aquaticus,RG1,Bacteria,Microcyclus aquaticus
Ancylobacter multivorans,RG1,Bacteria,Methylorhabdus multivorans
Ancylobacter novellus,RG1,Bacteria,"Starkeya novella,Thiobacillus novellus"
Ancylobacter tetraedralis,RG1,Bacteria,Angulomicrobium tetraedrale
Ancylostoma duodenale,RG2,Parasite,
Selenomonas ruminantium,RG1,Bacteria,"Ancyromonas ruminantium,Spirillum ruminantium,Selenomastix ruminantium"
Orthohantavirus andesense,RG3,Virus,"Pergamino virus,Oran virus,Lechiguanas virus,Andes orthohantavirus,Andes virus"
Andreesenia angusta,RG1,Bacteria,"Gottschalkia angusta,Eubacterium angustum"
Bacillus aneurinilyticus,RG1,Bacteria,"Bacillus aneurinolyticus,Aneurinibacillus aneurinilyticus"
Brevibacillus brevis,RG1,Bacteria,"Bacillus brevis,Aneurinibacillus danicus"
Aneurinibacillus migulanus,RG1,Bacteria,Bacillus migulanus
Aneurinibacillus thermoaerophilus,RG1,Bacteria,Bacillus thermoaerophilus
Archangium disciforme,RG1,Bacteria,"Angiococcus disciformis,Cystobacter disciformis,Myxococcus disciformis"
Streptosporangium violaceochromogenes,RG1,Bacteria,Angiococcus moliroseus
Angiostrongylus cantonensis,RG2,Parasite,"Rat Lungworm,Pulmonema cantonensis"
Angiostrongylus vasorum,,Parasite,"French heartworm,Strongylus vasorum"
Brachyspira pilosicoli,RG2,Bacteria,"Anguillina coli,Serpulina pilosicoli"
Anisakis simplex,RG2,Parasite,"Anisakis simplex B,Herring worm,Ascaris simplex"
Anisogramma anomala,,Fungus,Diatrype anomala
Anncaliia algerae,RG1,Parasite,"Nosema algerae,Brachiola algerae"
Annwoodia aquaesulis,RG1,Bacteria,Thiobacillus aquaesulis
Orthobunyavirus horizonteense,RG2,Virus,"Anopheles A orthobunyavirus,Anopheles A virus"
Orthobunyavirus cuchillaense,RG2,Virus,"Anopheles B virus,Anopheles B orthobunyavirus"
