Organism,Risk Group,Agent Type,Alternate Names
Acholeplasma cavigenitalium,RG1,Bacteria,Haploplasma cavigenitalum
Mesoplasma entomophilum,RG1,Bacteria,"Entomoplasma entomophilum,Acholeplasma entomophilum"
Acholeplasma equifetale,RG1,Bacteria,
Mesoplasma florum,RG1,Bacteria,"Entomoplasma florum,Acholeplasma florum"
Acholeplasma granularum,RG1,Bacteria,Mycoplasma granularum
Acholeplasma hippikon,RG1,Bacteria,
Acholeplasma laidlawii,RG1,Bacteria,Sapromyces laidlawi
Acholeplasma modicum,RG1,Bacteria,Haploplasma modicum
Acholeplasma morum,RG1,Bacteria,Paracholeplasma morum
Acholeplasma multilocale,RG1,Bacteria,"Entomoplasma multilocale,Tullyiplasma multilocale"
Acholeplasma oculi,RG1,Bacteria,Acholeplasma oculusi
Acholeplasma parvum,RG1,Bacteria,Alteracholeplasma parvum
Mesoplasma seiffertii,RG1,Bacteria,"Tullyiplasma seiffertii,Acholeplasma seiffertii,Entomoplasma seiffertii"
Acholeplasma vituli,RG1,Bacteria,Paracholeplasma vituli
Trichophyton concentricum,RG2,Fungus,"Achorion concentricum,Aspergillus concentricum,Mycoderma concentricum,Lepidophyton concentricum,Endodermophyton concentricum,Oospora concentrica"
Microsporum ferrugineum,RG2,Fungus,"Achorion ferrugineum,Grubyella ferruginea,Trichophyton ferrugineum,Arthrosporia ferruginea"
Lophophyton gallinae,RG2,Fungus,"Sabouraudites gallinae,Microsporum gallinae,Achorion gallinae,Microsporum vanbreuseghemii,Trichophyton gallinae,Closteroaleurosporia gallinae,Epidermophyton gallinae"
Nannizzia gypsea,RG2,Fungus,"Sabouraudites gypseus,Achorion gypseum,Microsporum gypseum,Trichophyton gypseum,Trichophyton mentagrophytes var. gypseum"
Trichophyton verrucosum,RG2,Fungus,"Favotrichophyton verrucosum,Trichophyton ochraceum,Trichophyton verrucosum var. discoides,Arthrosporia,Favotrichophyton ochraceum,Trichophyton faviforme var. ochraceum,Trichophyton discoides,Trichophyton album,Trichophyton verrucosum var. ochraceum,Trichophyton verrucosum var. album,Ectotrichophyton verrucosum,Trichophyton verrucosum var. autotrophicum,Grubyella ochracea,Achorion ochraceum"
Trichophyton schoenleinii,RG2,Fungus,"Arthrosporia schoenleinii,Trichophyton schoenleinii var. mongolicum,Grubyella schoenleinii,Achorion schoenleinii,Schoenleinium achorion,Trichophyton schoenleinii var. mongolicum,Sporotrichum schoenleinii,Oidium schoenleinii"
Trichophyton soudanense,RG2,Fungus,"Achorion soudanense,Langeronia soudanensis,Trichophyton violaceum"
Trichophyton violaceum,RG2,Fungus,"Arthrosporia violacea,Favotrichophyton violaceum,Bodinia violacea,Sabouraudites violaceus,Trichophyton violaceum var. indicum,Achorion violaceum,Trichophyton yaoundei,Trichophyton pterygoides var. violaceum,Endotrichophyton violaceum"
Macromonas mobilis,RG1,Bacteria,Achromatium mobile
Achromatium oxaliferum,RG1,Bacteria,
Propionispira raffinosivorans,RG1,Bacteria,"Zymomonas anaerobia,Pseudomonas lindneri,Zymophilus raffinosivorans,Achromobacter anaerobium,Thermobacterium mobile,Saccharomonas lindneri"
Halomonas aquamarina,RG1,Bacteria,"Deleya aquamarina,Achromobacter aquamarinus,Deleya aesta,Alcaligenes aestus,Alcaligenes aquamarinus,Alcaligenes faecalis subsp. homari,Vreelandella aquamarina"
Aminobacter carboxidus,RG1,Bacteria,"Alcaligenes carboxydus,Carbophilus carboxidus,Achromobacter carboxydus"
Achromobacter denitrificans,RG2,Bacteria,"Achromobacter xylosidans subsp. denitrificans,Alcaligenes denitrificans,Alcaligenes xylosoxidans subsp. denitrificans"
Aliivibrio fischeri,RG1,Bacteria,"Achromobacter fischeri,Bacillus fischeri,Vibrio fischeri,Photobacterium fischeri,Vibrio noctiluca,Microspira fischeri,Microspira marina,Einheimischer Leuchtbacillus,Bacillus phosphorescens indigenus"
Acinetobacter haemolyticus,RG1,Bacteria,Achromobacter haemolyticus
Xanthomonas populi,RG1,Bacteria,"Pseudomonas campestris,Achromobacter lunatus,Xanthomonas campestris var. aberrans,Xanthomonas campestris var. armoraceae,Bacterium campestre,Phytomonas campestris,Bacillus campestris"
Achromobacter piechaudii,RG2,Bacteria,Alcaligenes piechaudii
Shewanella putrefaciens,RG1,Bacteria,"Pseudomonas putrefaciens.,Achromobacter putrefaciens,Alteromonas putrefaciens"
Achromobacter ruhlandii,RG1,Bacteria,"Hydrogenomonas ruhlandii,Alcaligenes ruhlandii"
Pseudomonas stutzeri,RG1,Bacteria,"Achromobacter sewerinii,Achromobacter stutzeri,Bacillus nitrogenes,Bacillus stutzeri,Pseudomonas perfectomarina"
Achromobacter xerosis,RG1,Bacteria,
Achromobacter xylosoxidans,RG2,Bacteria,"Alcaligenes xylosoxidans,Alcaligenes xylosoxydans,Alcaligenes denitrificans subsp. xylosoxydans"
Achromobacter xylosoxidans subsp. xylosoxidans,RG2,Bacteria,Alcaligenes xylosoxidans subsp. xylosoxidans
Aciculoconidium aculeatum,RG1,Fungus,Trichosporon aculeatum
Acidaminobacter hydrogenoformans,RG1,Bacteria,
Acidaminococcus fermentans,RG2,Bacteria,
Acidianus ambivalens,RG1,Bacteria,Desulfurolobus ambivalens
Acidianus brierleyi,RG1,Bacteria,Sulfolobus brierleyi
Acidianus infernus,RG1,Bacteria,
Acidimicrobium ferrooxidans,RG1,Bacteria,
Acidiphilium acidophilum,RG1,Bacteria,Thiobacillus acidophilus
Acidocella aminolytica,RG1,Bacteria,"Acidiphilum aminolytica,Acidiphilium aminilyticum"
Acidiphilium angustum,RG1,Bacteria,
Acidiphilium cryptum,RG1,Bacteria,
Acidocella facilis,RG1,Bacteria,"Acidiphilium facile,Acidiphilium facilis"
Acidiphilium multivorum,RG1,Bacteria,
Acidiphilium organovorum,RG2,Bacteria,
Acidiphilium rubrum,RG1,Bacteria,
Acidipropionibacterium acidipropionici,RG1,Bacteria,"Propionibacterium acidipropionici,Bacillus acidi propionici"
Acidipropionibacterium jensenii,RG1,Bacteria,"Propionibacterium jensenii,Propionibacterium peterssonii,Propionibacterium raffinosaceum,Propionibacterium technicum,Propionibacterium zeae,Propionicibacterium jensenii"
Acidipropionibacterium thoenii,RG1,Bacteria,"Propionibacterium thoenii,Propionibacterium rubrum"
Acidithiobacillus albertensis,RG1,Bacteria,"Thiobacillus albertis,Acidithiobacillus albertis"
Acidithiobacillus caldus,RG1,Bacteria,"Thiobacillus caldus,Fervidacidithiobacillus caldus"
Acidithiobacillus ferrooxidans,RG1,Bacteria,Thiobacillus ferrooxidans
Acidithiobacillus thiooxidans,RG1,Bacteria,Thiobacillus thiooxidans
Acidithrix ferrooxidans,RG1,Bacteria,
Acidobacterium capsulatum,RG1,Bacteria,
Acidothermus cellulolyticus,RG1,Bacteria,
Acidovorax anthurii,RG1,Bacteria,Paracidovorax anthurii
Acidovorax avenae,RG1,Bacteria,"Pseudomonas avenae,Phytomonas rubrilineans,Pseudomonas rubrilineans,Paracidovorax avenae"
Acidovorax avenae subsp. avenae,RG1,Bacteria,Pseudomonas avenae subsp. avenae
Acidovorax cattleyae,RG1,Bacteria,"Pseudomonas cattleyae,Bacterium cattleyae,Acidovorax avenae subsp. cattleyae,Paracidovorax cattleyae"
