organism,risk_group,notes,source_url,query_term
bronchialis,2,(Rhodococcus bronchialis),https://my.absa.org/RiskGroups,gordonia
sputi,2,(Rhodococcus sputi),https://my.absa.org/RiskGroups,gordonia
terrae,2,(Rhodococcus terrae),https://my.absa.org/RiskGroups,gordonia
chubuensis,2,(syn.: Gordonia sputi),https://my.absa.org/RiskGroups,gordonia
canis,2,t | PV,https://my.absa.org/RiskGroups,haemobartonella
felis,2,PV,https://my.absa.org/RiskGroups,haemobartonella
contortus,2,t2,https://my.absa.org/RiskGroups,haemonchus
aegyptius,2,,https://my.absa.org/RiskGroups,haemophilus
aphrophilus,2,,https://my.absa.org/RiskGroups,haemophilus
ducreyi,2,,https://my.absa.org/RiskGroups,haemophilus
felis,2,t | PV,https://my.absa.org/RiskGroups,haemophilus
haemoglobinophilus,2,PV,https://my.absa.org/RiskGroups,haemophilus
influenzae,2,V,https://my.absa.org/RiskGroups,haemophilus
paracuniculus,2,t | PV,https://my.absa.org/RiskGroups,haemophilus
paragallinarum,2,(serotype A); see previous edition | PV,https://my.absa.org/RiskGroups,haemophilus
parahaemolyticus,2,,https://my.absa.org/RiskGroups,haemophilus
parainfluenzae,2,,https://my.absa.org/RiskGroups,haemophilus
paraphrohaemolyticus,2,,https://my.absa.org/RiskGroups,haemophilus
paraphrophilus,2,,https://my.absa.org/RiskGroups,haemophilus
parasuis,2,t | PV,https://my.absa.org/RiskGroups,haemophilus
piscium,2,t | PV,https://my.absa.org/RiskGroups,haemophilus
segni,2,,https://my.absa.org/RiskGroups,haemophilus
equigenitalis,2,Haemophilus equigenitalis | t | PV ; Old name: Haemophilus equigenitalis,https://my.absa.org/RiskGroups,haemophilus
alvei,2,"(Human opportunistic pathogen) | TA, ht",https://my.absa.org/RiskGroups,hafnia
seregens,2,,https://my.absa.org/RiskGroups,hallella
kunzii,2,,https://my.absa.org/RiskGroups,helcococcus
ovis,2,t,https://my.absa.org/RiskGroups,helcococcus
acinonychis,2,t | PV,https://my.absa.org/RiskGroups,helicobacter
bilis,2,t | PV,https://my.absa.org/RiskGroups,helicobacter
bizzozeronii,2,ht | TMP,https://my.absa.org/RiskGroups,helicobacter
canis,2,ht | PV,https://my.absa.org/RiskGroups,helicobacter
cholecystus,2,t | PV,https://my.absa.org/RiskGroups,helicobacter
hepaticus,2,t | PV,https://my.absa.org/RiskGroups,helicobacter
muridarum,2,t | PV,https://my.absa.org/RiskGroups,helicobacter
pullorum,2,ht | PV,https://my.absa.org/RiskGroups,helicobacter
Duck hepatidis B,2,t2 | PM,https://my.absa.org/RiskGroups,hepadnaviridae
Ground squirrel hepatitis B virus,3,t2 | PM,https://my.absa.org/RiskGroups,hepadnaviridae
Hepatitis B virus,3,"Vaccination available | (**), V, D | ** PH | * Vaccine available",https://my.absa.org/RiskGroups,hepadnaviridae
Hepatitis D virus,3,"(**), V, D | ** | * Vaccine available",https://my.absa.org/RiskGroups,hepadnaviridae
Woodchuck hepatitis B virus,3,t2 | PM,https://my.absa.org/RiskGroups,hepadnaviridae
Alcelaphine herpesvirus 1 (Bovine malignant catarrhal fever),3,t2 | PM,https://my.absa.org/RiskGroups,herpesviridae
Baboon herpesvirus (Cercopithecine herpesvirus 2),3,RG 2 in animals | t2 | PM,https://my.absa.org/RiskGroups,herpesviridae
Bovine herpesvirus 1,2,t2 | PM,https://my.absa.org/RiskGroups,herpesviridae
Bovine herpesviruses 2 to 4,2,t2 | PM,https://my.absa.org/RiskGroups,herpesviridae
Canid herpesvirus 1,2,PM,https://my.absa.org/RiskGroups,herpesviridae
Caprine herpesvirus 1,2,t2 | PM,https://my.absa.org/RiskGroups,herpesviridae
Carp herpesvirus,2,PM,https://my.absa.org/RiskGroups,herpesviridae
Catfish herpesvirus,2,t2,https://my.absa.org/RiskGroups,herpesviridae
Channel catfish virus disease (CCV) (Herpesvirus ictalurus),2,t2 | PM,https://my.absa.org/RiskGroups,herpesviridae
Cytomegalovirus (CMV),2,Respiratory protection should be considered | PH,https://my.absa.org/RiskGroups,herpesviridae
"Cytomegaloviruses of mouse, guinea pig and rat",2,t2 | PM,https://my.absa.org/RiskGroups,herpesviridae
Epstein-Barr virus (EBV),2,PH,https://my.absa.org/RiskGroups,herpesviridae
Equid herpesvirus 1 (EHV-1),2,PM,https://my.absa.org/RiskGroups,herpesviridae
"Equid herpesviruses 2, 3 (EHV-2, 3)",2,"t2 | PM, TEN",https://my.absa.org/RiskGroups,herpesviridae
Felid herpesvirus 1,2,t2 | PM,https://my.absa.org/RiskGroups,herpesviridae
Gamma herpes,2,Herpes 6 and 7 and Lymphocryptovirus (EB-like viruses),https://my.absa.org/RiskGroups,herpesviridae
Herpes saimiri,2,PM,https://my.absa.org/RiskGroups,herpesviridae
Herpes simplex viruses,2,types 1 and 2 | PH | (Types 1-2),https://my.absa.org/RiskGroups,herpesviridae
Herpes virus B (Herpesvirus simiae),4,Herpes B or Monkey B virus | Ceropithecine herpesvirus 1 | PHV,https://my.absa.org/RiskGroups,herpesviridae
Herpes zoster,2,,https://my.absa.org/RiskGroups,herpesviridae
Herpesvirus ateles,3,"For strains that are infectious to human cells, otherwise RG1 | PM",https://my.absa.org/RiskGroups,herpesviridae
Herpesvirus HHV 6 - 8,2,PH | (HHV 6-8),https://my.absa.org/RiskGroups,herpesviridae
Herpesvirus of the rabbit,2,,https://my.absa.org/RiskGroups,herpesviridae
Herpesvirus saimiri,2,"For strains that are infectious to human cells, otherwise RG1 | PM",https://my.absa.org/RiskGroups,herpesviridae
Herpesvirus simiae (B virus),4,"Monkey B virus | **, V, D | PHV",https://my.absa.org/RiskGroups,herpesviridae
Herpesviruses of crustaceans and molluscs,2,,https://my.absa.org/RiskGroups,herpesviridae
Herpesviruses of reptiles,2,,https://my.absa.org/RiskGroups,herpesviridae
Herpesviruses of sheep and goat,2,PM,https://my.absa.org/RiskGroups,herpesviridae
"Herpesviruses of the frog (Fv4, FV5-8)",2,PM,https://my.absa.org/RiskGroups,herpesviridae
Human B lymphotropic virus,2,Human herpesvirus 6 | HBLV-HHV6,https://my.absa.org/RiskGroups,herpesviridae
Lymphocrypto virus,2,"EB-like viruses; see previous edition | PM, PH",https://my.absa.org/RiskGroups,herpesviridae
Marek's disease virus,2,"For strains that are infectious to human cells, otherwise RG1 | t2 | PM",https://my.absa.org/RiskGroups,herpesviridae
Murine cytomegalovirus,2,"For strains that are infectious to human cells, otherwise RG1 | t2 | PM",https://my.absa.org/RiskGroups,herpesviridae
Oncorhynchus-Masou virus,2,PM,https://my.absa.org/RiskGroups,herpesviridae
Phocid herpesvirus 1,2,,https://my.absa.org/RiskGroups,herpesviridae
Pigeon herpesvirus infection,2,PM,https://my.absa.org/RiskGroups,herpesviridae
Pike herpesvirus,2,,https://my.absa.org/RiskGroups,herpesviridae
Pseudorabies virus,3,t2/t3 | PM,https://my.absa.org/RiskGroups,herpesviridae
"Rhadinovirus, except H. ateles and H. saimiri",2,PM | HHV8,https://my.absa.org/RiskGroups,herpesviridae
"Rhadinovirus, except H.ateles,H. saimiri",2,PM | HHV8,https://my.absa.org/RiskGroups,herpesviridae
Salmonid herpesvirus (Herpesvirus salmonis),3,t2 | PM,https://my.absa.org/RiskGroups,herpesviridae
Suid herpesvirus 2,2,PM,https://my.absa.org/RiskGroups,herpesviridae
Turbot herpesvirus disease,2,,https://my.absa.org/RiskGroups,herpesviridae
Varicella Zoster virus,2,Vaccination available | PH,https://my.absa.org/RiskGroups,herpesviridae
spp,3,for capsulatum,https://my.absa.org/RiskGroups,histoplasma
werneckii,2,+ | h,https://my.absa.org/RiskGroups,hortaea
diminuta,2,"G | Z | AAH, AHH, ZOP",https://my.absa.org/RiskGroups,hymenolepis
nana,2,G (human origin) | Z | AHH,https://my.absa.org/RiskGroups,hymenolepis
spp,2,"AAH, see vampirolepis",https://my.absa.org/RiskGroups,hymenolepis
Bullfrog (TEV),2,,https://my.absa.org/RiskGroups,iridoviridae
Erythrocytic necrosis virus,3,t2,https://my.absa.org/RiskGroups,iridoviridae
"Frog viruses (FV 1 to 3, FV 9 to 24)",2,t2 | PM,https://my.absa.org/RiskGroups,iridoviridae
Gecko virus,2,,https://my.absa.org/RiskGroups,iridoviridae
"Iridoviruses of chilids, perch, goldfish, common cod, carp and cat-fish",2,,https://my.absa.org/RiskGroups,iridoviridae
Iridoviruses of crustaceans and mollusces,2,,https://my.absa.org/RiskGroups,iridoviridae
Leopard frog iridoviruses (I 4 to 5),2,,https://my.absa.org/RiskGroups,iridoviridae
Lymphocystis disease virus,2,t2,https://my.absa.org/RiskGroups,iridoviridae
"Newt viruses (T 6 to 21, LT 1 to 4)",2,,https://my.absa.org/RiskGroups,iridoviridae
Tipula iridescent virus (TIV),2,,https://my.absa.org/RiskGroups,iridoviridae
belli,2,Z | AHH,https://my.absa.org/RiskGroups,isopora
spp,2,other species than listed | AAH,https://my.absa.org/RiskGroups,isopora
ignava,2,,https://my.absa.org/RiskGroups,johnsonella
denitrificans,2,t | PV; old name old name Listeria denitrificans,https://my.absa.org/RiskGroups,jonesia
denitrificans,2,,https://my.absa.org/RiskGroups,kingella
kingae,2,,https://my.absa.org/RiskGroups,kingella
oralis,2,,https://my.absa.org/RiskGroups,kingella
indologenes,2,Kingella indologenes | Old name:  Kingella indologenes,https://my.absa.org/RiskGroups,kingella
ornithinolytica,2,,https://my.absa.org/RiskGroups,klebsiella
oxytoca,2,ht,https://my.absa.org/RiskGroups,klebsiella
ozaenae,2,(Klebsiella pneumoniae subsp. ozaenae),https://my.absa.org/RiskGroups,klebsiella
pneumoniae,2,"(subsp. ozaenae, pneumoniae, rhinoscleromatis) | (including: subsp. pneumoniae, ozaenae, rhinoscleromatis",https://my.absa.org/RiskGroups,klebsiella
rhinoscleromatis,2,refer to Klebsiella pneumoniae subsp. rhinoscleromatis,https://my.absa.org/RiskGroups,klebsiella
spp.,2,All species except K. oxytoca (RG1),https://my.absa.org/RiskGroups,klebsiella
ascorbata,2,,https://my.absa.org/RiskGroups,kluyvera
cryocrescens,2,,https://my.absa.org/RiskGroups,kluyvera
georgiana,2,TMP,https://my.absa.org/RiskGroups,kluyvera
trabulsii,2,,https://my.absa.org/RiskGroups,koserella
catenaformis,2,,https://my.absa.org/RiskGroups,lactobacillus
rhamnosus,2,TA | PIIC,https://my.absa.org/RiskGroups,lactobacillus
uli,2,,https://my.absa.org/RiskGroups,lactobacillus
garvieae,2,ht | PV,https://my.absa.org/RiskGroups,lactococcus
intracellularis,2,t | PV,https://my.absa.org/RiskGroups,lawsonia
adecarboxylata,2,,https://my.absa.org/RiskGroups,leclercia
anisa,2,All species and all Legionella-like organisms,https://my.absa.org/RiskGroups,legionella
birminghamensis,2,All species and all Legionella-like organisms,https://my.absa.org/RiskGroups,legionella
cincinnatiensis,2,All species and all Legionella-like organisms,https://my.absa.org/RiskGroups,legionella
feeleii,2,All species and all Legionella-like organisms,https://my.absa.org/RiskGroups,legionella
hackeliae,2,All species and all Legionella-like organisms,https://my.absa.org/RiskGroups,legionella
jordanis,2,All species and all Legionella-like organisms,https://my.absa.org/RiskGroups,legionella
lansingensis,2,All species and all Legionella-like organisms,https://my.absa.org/RiskGroups,legionella
longbeachae,2,All species and all Legionella-like organisms,https://my.absa.org/RiskGroups,legionella
parisiensis,2,+ | All species and all Legionella-like organisms | PIIC,https://my.absa.org/RiskGroups,legionella
pneumophila,2,"(subsp. fraseri, pascullei, pneumophila) | All species and all Legionella-like organisms",https://my.absa.org/RiskGroups,legionella
sainthelensi,2,All species and all Legionella-like organisms,https://my.absa.org/RiskGroups,legionella
tucsonensis,2,All species and all Legionella-like organisms | (formerly Legionella),https://my.absa.org/RiskGroups,legionella
wadsworthii,2,All species and all Legionella-like organisms,https://my.absa.org/RiskGroups,legionella
maceachernii,2,Legionella maceachernii | Old name:Legionella maceachernii,https://my.absa.org/RiskGroups,legionella
micdadei,2,Legionella micdadei | Old name:Legionella micdadei,https://my.absa.org/RiskGroups,legionella
aethiopica,2,"Z | AHH, ZOP",https://my.absa.org/RiskGroups,leishmania
braziliensis,3,"(**) | Z | **, AHH, OST, IVE, ZOP",https://my.absa.org/RiskGroups,leishmania
donovani,3,"(**) | Z | **, AHH, OST, IVE, ZOP",https://my.absa.org/RiskGroups,leishmania
major,2,"Z | AHH, ZOP",https://my.absa.org/RiskGroups,leishmania
mexicana,2,"RG 3 in animals | Z | AHH, ZOP",https://my.absa.org/RiskGroups,leishmania
peruviana,2,"Z | AHH, ZOP",https://my.absa.org/RiskGroups,leishmania
spp.,2,G (mammalian),https://my.absa.org/RiskGroups,leishmania
tropica,2,"RG 3 in animals | Z | AHH, ZOP",https://my.absa.org/RiskGroups,leishmania
senegalensis,2,h,https://my.absa.org/RiskGroups,leptosphaeria
thompkinsii,2,h,https://my.absa.org/RiskGroups,leptosphaeria
alexanderi,2,RG 3 in animals | +,https://my.absa.org/RiskGroups,leptospira
borgpetersenii,2,RG 3 in animals | Z,https://my.absa.org/RiskGroups,leptospira
fainei,2,RG 3 in animals | Z,https://my.absa.org/RiskGroups,leptospira
inadai,2,RG 3 in animals | Z,https://my.absa.org/RiskGroups,leptospira
interrogans,2,All serotypes | Can penetrate intact skin. | all serovars | Z,https://my.absa.org/RiskGroups,leptospira
kirschneri,2,RG 3 in animals | Z,https://my.absa.org/RiskGroups,leptospira
noguchii,2,RG 3 in animals | Z,https://my.absa.org/RiskGroups,leptospira
santarosai,2,RG 3 in animals | Z,https://my.absa.org/RiskGroups,leptospira
weilii,2,RG 3 in animals | Z,https://my.absa.org/RiskGroups,leptospira
malonatica,2,,https://my.absa.org/RiskGroups,levinea
africanum,3,PP QUA,https://my.absa.org/RiskGroups,liberobacter
asiaticum,3,PP QUA,https://my.absa.org/RiskGroups,liberobacter
ivanovii,2,"Z (subsp. Ivanovii, londoniensis)",https://my.absa.org/RiskGroups,listeria
monocytogenes,2,May be dangerous for pregnant women. | Z,https://my.absa.org/RiskGroups,listeria
anguillarum,2,"PV, old name old name Vibrio anguillarum",https://my.absa.org/RiskGroups,listonella
damsela subsp. damsela,2,Listonella damsela | Z | Old names:  Vibrio damselae ; Listonella damselae,https://my.absa.org/RiskGroups,listonella
brasiliensis,3,Loboa loboi; mitosporic Onygenaceae | A | h,https://my.absa.org/RiskGroups,loboa
grisea,2,mitosporic Ascomycota | h,https://my.absa.org/RiskGroups,madurella
mycetomatis,2,"h, Synonym of Streptothrix mycetomatis; Acladium americanum, M. americana, M. ikedae, obsolute synonym",https://my.absa.org/RiskGroups,madurella
mycetomi,2,,https://my.absa.org/RiskGroups,madurella
glucosida,2,,https://my.absa.org/RiskGroups,mannheimia
granulomatis,2,t,https://my.absa.org/RiskGroups,mannheimia
haemolytica,2,ht,https://my.absa.org/RiskGroups,mannheimia
ruminalis,2,,https://my.absa.org/RiskGroups,mannheimia
varigena,2,t,https://my.absa.org/RiskGroups,mannheimia
ozzardi,2,,https://my.absa.org/RiskGroups,mansonella
perstans,2,,https://my.absa.org/RiskGroups,mansonella
streptocerca,2,Z,https://my.absa.org/RiskGroups,mansonella
elsdenii,2,ht,https://my.absa.org/RiskGroups,megasphaera
pluton,3,PI,https://my.absa.org/RiskGroups,melissococcus
audouinii,2,See Microsporum spp. | Microsporum rivalieri | h | See Microsporum spp.; Allergen,https://my.absa.org/RiskGroups,microsporum
distortum,2,See Microsporum spp. | dysgonic variant of Microsporum canis | See Microsporum spp.; Allergen,https://my.absa.org/RiskGroups,microsporum
duboisii,2,See Microsporum spp. | h | See Microsporum spp.; Allergen,https://my.absa.org/RiskGroups,microsporum
equinum,2,"See Microsporum spp. | variant of Microsporum canis | t | v,h | See Microsporum spp.; Allergen",https://my.absa.org/RiskGroups,microsporum
ferrugineum,2,See Microsporum spp. | v | See Microsporum spp.; Allergen,https://my.absa.org/RiskGroups,microsporum
langeroni,2,for spp | Microsporum audouinii,https://my.absa.org/RiskGroups,microsporum
praecox,2,See Microsporum spp. | h | See Microsporum spp.; Allergen,https://my.absa.org/RiskGroups,microsporum
rivalieri,2,for spp | Microsporum audouinii,https://my.absa.org/RiskGroups,microsporum
aerodenitrificans,2,(some strains are RG  1),https://my.absa.org/RiskGroups,microvirgula
curtisii,2,"(subsp. curtisii,  holmesii)",https://my.absa.org/RiskGroups,mobiluncus
mulieris,2,,https://my.absa.org/RiskGroups,mobiluncus
apiospermum,2,Scedosporium apiospermum; teleomorph Pseudallescheria boydii; mitosporic Microascaceae | (obsolete) Scedosporium apiospermum,https://my.absa.org/RiskGroups,monosporium
atlantae,2,,https://my.absa.org/RiskGroups,moraxella
caprae,2,PV,https://my.absa.org/RiskGroups,moraxella
catarrhalis,2,ht,https://my.absa.org/RiskGroups,moraxella
equi,2,t | PV,https://my.absa.org/RiskGroups,moraxella
lacunata,2,,https://my.absa.org/RiskGroups,moraxella
nonliquefaciens,2,,https://my.absa.org/RiskGroups,moraxella
osloensis,2,ht,https://my.absa.org/RiskGroups,moraxella
saccharolytica,2,,https://my.absa.org/RiskGroups,moraxella
ovis,2,t | (refer to Moraxella (Branhamella) ovis),https://my.absa.org/RiskGroups,moraxella
phenylpyruvicus,2,Old name: Moraxella phenylpyruvica,https://my.absa.org/RiskGroups,moraxella
anatipestifer,2,Moraxella anatipestifer | t | PV; (Moraxella anatipestifer),https://my.absa.org/RiskGroups,moraxella
morganii,2,"(subsp. Morganii, sibonii) | (including subsp. morganii, sibonii,",https://my.absa.org/RiskGroups,morganella
mirabilis,2,ht | (= Morganella morganii subsp. morgan),https://my.absa.org/RiskGroups,morganella
cerebrosus,2,,https://my.absa.org/RiskGroups,morococcus
abscessus,2,ht | (old name Mycobacterium chelonae subsp. abscessus),https://my.absa.org/RiskGroups,mycobacterium
africanum,3,"V | V, Z | Vaccine available",https://my.absa.org/RiskGroups,mycobacterium
asiaticum,2,ht,https://my.absa.org/RiskGroups,mycobacterium
avium,2,"RG 3 in animals | Mycobacterium intracellulare | ht (also subsp. avium, paratuberculosis, silvaticum) | (refer to Mycobacterium avium. Including subsp. aviumincluding: subsp.  avium, paratuberculosis, silvaticum)",https://my.absa.org/RiskGroups,mycobacterium
bovis,3,"Except BCG vaccine strain (RG2) | V, except BCG strain | V, Z | (Except BCG strain)",https://my.absa.org/RiskGroups,mycobacterium
bovis (BCG strains),3,Vaccine available,https://my.absa.org/RiskGroups,mycobacterium
branderi,2,,https://my.absa.org/RiskGroups,mycobacterium
canettii,3,,https://my.absa.org/RiskGroups,mycobacterium
caprae,3,Z,https://my.absa.org/RiskGroups,mycobacterium
celatum,2,2 | ht,https://my.absa.org/RiskGroups,mycobacterium
chelonae,2,"t | (old name old name Mycobacterium chelonae subsp. Chelonae. Including subsp. abscessus, chelonae)",https://my.absa.org/RiskGroups,mycobacterium
conspicuum,2,,https://my.absa.org/RiskGroups,mycobacterium
farcinogenes,2,t | PV,https://my.absa.org/RiskGroups,mycobacterium
flavescens,2,ht,https://my.absa.org/RiskGroups,mycobacterium
fortuitum,2,"(subsp. Acetamidolyticum, fortuitum) | (including subsp. acetamidolyticum,  fortuitum)",https://my.absa.org/RiskGroups,mycobacterium
gastri,2,,https://my.absa.org/RiskGroups,mycobacterium
genavense,2,ht,https://my.absa.org/RiskGroups,mycobacterium
gordonae,2,ht+ | PIIC,https://my.absa.org/RiskGroups,mycobacterium
haemophilum,2,ht,https://my.absa.org/RiskGroups,mycobacterium
heidelbergense,2,,https://my.absa.org/RiskGroups,mycobacterium
interjectum,2,,https://my.absa.org/RiskGroups,mycobacterium
intermedium,2,,https://my.absa.org/RiskGroups,mycobacterium
intracellulare,2,ht,https://my.absa.org/RiskGroups,mycobacterium
kansasii,2,ht,https://my.absa.org/RiskGroups,mycobacterium
lentiflavum,2,,https://my.absa.org/RiskGroups,mycobacterium
leprae,3,ht | Vaccine available,https://my.absa.org/RiskGroups,mycobacterium
lepraemurium,3,t | PV,https://my.absa.org/RiskGroups,mycobacterium
malmoense,3,ht,https://my.absa.org/RiskGroups,mycobacterium
marinum,2,Z,https://my.absa.org/RiskGroups,mycobacterium
microti,3,: (*) | ** | Z | *,https://my.absa.org/RiskGroups,mycobacterium
mucogenicum,2,,https://my.absa.org/RiskGroups,mycobacterium
novocastrense,2,,https://my.absa.org/RiskGroups,mycobacterium
paratuberculosis,2,,https://my.absa.org/RiskGroups,mycobacterium
peregrinum,2,ht | PIIC,https://my.absa.org/RiskGroups,mycobacterium
pinnipedii,3,Z,https://my.absa.org/RiskGroups,mycobacterium
porcinum,2,ht | PV,https://my.absa.org/RiskGroups,mycobacterium
scrofulaceum,2,ht,https://my.absa.org/RiskGroups,mycobacterium
senegalense,2,t | PV,https://my.absa.org/RiskGroups,mycobacterium
shimoidei,2,,https://my.absa.org/RiskGroups,mycobacterium
simiae,2,ht,https://my.absa.org/RiskGroups,mycobacterium
spp.,2,f: High risk of aerosol spread.,https://my.absa.org/RiskGroups,mycobacterium
szulgai,3,ht,https://my.absa.org/RiskGroups,mycobacterium
triplex,2,TMP,https://my.absa.org/RiskGroups,mycobacterium
tuberculosis,3,"c: Vaccination, sec Clause 2.6.4.; d: Respiratory protection should be considered.; e: Greater than 5000 cultures per year, susceptibility testing, known multi-drug resistant strains. See references in Clause 3.3.2.1. | V | V, Z | (Including subsp. caprae and subsp. tuberculosis ) | Vaccine available",https://my.absa.org/RiskGroups,mycobacterium
tusciae,2,,https://my.absa.org/RiskGroups,mycobacterium
ulcerans,3,: (*) | ** | *,https://my.absa.org/RiskGroups,mycobacterium
vaccae,2,ht | PV,https://my.absa.org/RiskGroups,mycobacterium
wolinskyi,2,,https://my.absa.org/RiskGroups,mycobacterium
xenopi,2,ht,https://my.absa.org/RiskGroups,mycobacterium
adleri,2,t | PV,https://my.absa.org/RiskGroups,mycoplasma
agalactiae,3,Restricted animal pathogen | t3 | PV,https://my.absa.org/RiskGroups,mycoplasma
alkalescens,2,t | PV,https://my.absa.org/RiskGroups,mycoplasma
anatis,2,t | PV,https://my.absa.org/RiskGroups,mycoplasma
arginini,2,t | PV,https://my.absa.org/RiskGroups,mycoplasma
arthritidis,2,t | PV,https://my.absa.org/RiskGroups,mycoplasma
bovigenitalium,2,t | PV,https://my.absa.org/RiskGroups,mycoplasma
bovirhinis,2,t | PV,https://my.absa.org/RiskGroups,mycoplasma
bovoculi,2,t | PV,https://my.absa.org/RiskGroups,mycoplasma
buteonis,2,t | PV,https://my.absa.org/RiskGroups,mycoplasma
californicum,2,t | PV,https://my.absa.org/RiskGroups,mycoplasma
canadense,2,t | PV,https://my.absa.org/RiskGroups,mycoplasma
capricolum,2,t | PV; subsp. Capricolum is RG 2 and subsp. Capripneumoniae is RG3,https://my.absa.org/RiskGroups,mycoplasma
caviae,2,ht+,https://my.absa.org/RiskGroups,mycoplasma
collis,2,t | PV,https://my.absa.org/RiskGroups,mycoplasma
columbinasale,2,t | PV,https://my.absa.org/RiskGroups,mycoplasma
conjunctivae,2,t | PV,https://my.absa.org/RiskGroups,mycoplasma
corogypsi,2,t | PV,https://my.absa.org/RiskGroups,mycoplasma
crocodyli,2,t | PV,https://my.absa.org/RiskGroups,mycoplasma
cynos,2,t | PV,https://my.absa.org/RiskGroups,mycoplasma
dispar,2,t | PV,https://my.absa.org/RiskGroups,mycoplasma
edwardii,2,t | PV,https://my.absa.org/RiskGroups,mycoplasma
equigenitalium,2,t | PV,https://my.absa.org/RiskGroups,mycoplasma
equirhinis,2,t | PV,https://my.absa.org/RiskGroups,mycoplasma
falconis,2,t | PV,https://my.absa.org/RiskGroups,mycoplasma
felis,2,Z | PV,https://my.absa.org/RiskGroups,mycoplasma
fermentans,2,,https://my.absa.org/RiskGroups,mycoplasma
flocculare,2,t | PV,https://my.absa.org/RiskGroups,mycoplasma
gallinarum,2,t | PV,https://my.absa.org/RiskGroups,mycoplasma
gallisepticum,2,t | PV,https://my.absa.org/RiskGroups,mycoplasma
gallopavonis,2,t | PV,https://my.absa.org/RiskGroups,mycoplasma
gateae,2,t | PV,https://my.absa.org/RiskGroups,mycoplasma
genitalium,2,,https://my.absa.org/RiskGroups,mycoplasma
glycophilum,2,t | PV,https://my.absa.org/RiskGroups,mycoplasma
gypis,2,t | PV,https://my.absa.org/RiskGroups,mycoplasma
hominis,2,ht,https://my.absa.org/RiskGroups,mycoplasma
hyopneumoniae,2,t | PV; old name old name Mycoplasma suipneumoniae,https://my.absa.org/RiskGroups,mycoplasma
hyorhinis,2,t | PV,https://my.absa.org/RiskGroups,mycoplasma
hyosynoviae,2,t | PV,https://my.absa.org/RiskGroups,mycoplasma
imitans,2,t | PV,https://my.absa.org/RiskGroups,mycoplasma
iowae,2,t | PV,https://my.absa.org/RiskGroups,mycoplasma
lipofaciens,2,t | PV,https://my.absa.org/RiskGroups,mycoplasma
maculosum,2,t | PV,https://my.absa.org/RiskGroups,mycoplasma
meleagridis,2,t | PV,https://my.absa.org/RiskGroups,mycoplasma
mycoides,2,Restricted animal pathogen | t3,https://my.absa.org/RiskGroups,mycoplasma
mycoides subsp.capri,3,t3 | PV,https://my.absa.org/RiskGroups,mycoplasma
mycoides subsp.myocoides,3,"t3 | PV, EPD",https://my.absa.org/RiskGroups,mycoplasma
ovipneumoniae,2,t | PV,https://my.absa.org/RiskGroups,mycoplasma
penetrans,2,,https://my.absa.org/RiskGroups,mycoplasma
phocacerebrale,2,t | PV,https://my.absa.org/RiskGroups,mycoplasma
phocarhinis,2,t | PV,https://my.absa.org/RiskGroups,mycoplasma
phocidae,2,PV,https://my.absa.org/RiskGroups,mycoplasma
pneumoniae,2,f: High risk of aerosol spread.,https://my.absa.org/RiskGroups,mycoplasma
primatum,2,+ | PIIC,https://my.absa.org/RiskGroups,mycoplasma
pulmonis,2,t | PV,https://my.absa.org/RiskGroups,mycoplasma
putrefasciens,2,t | PV,https://my.absa.org/RiskGroups,mycoplasma
salivarium,2,,https://my.absa.org/RiskGroups,mycoplasma
spumans,2,t | PV,https://my.absa.org/RiskGroups,mycoplasma
sturni,2,t | PV,https://my.absa.org/RiskGroups,mycoplasma
synoviae,2,t | PV,https://my.absa.org/RiskGroups,mycoplasma
verecundum,2,t | PV,https://my.absa.org/RiskGroups,mycoplasma
neurolyticum,2,t | PV,https://my.absa.org/RiskGroups,mycoplasma
odoratimimus,2,,https://my.absa.org/RiskGroups,myroides
australiensis,2,,https://my.absa.org/RiskGroups,naegleria
fowleri,3,"G, C | AHH, PAM",https://my.absa.org/RiskGroups,naegleria
gruberi,1,,https://my.absa.org/RiskGroups,naegleria
spp,2,AHH,https://my.absa.org/RiskGroups,naegleria
americanus,2,Z | AHH,https://my.absa.org/RiskGroups,necator
spp,2,"Human hookworms | AAH, AHH, ZOP",https://my.absa.org/RiskGroups,necator
elongata,1,"+ | subsp. Elongata RG 1, PIIC; subsp. Glycolytica RG 1, PIIC; subsp. Nitroreducens RG 2",https://my.absa.org/RiskGroups,neisseria
gonorrhoeae,2,,https://my.absa.org/RiskGroups,neisseria
iguanae,2,t | PV,https://my.absa.org/RiskGroups,neisseria
lactamica,2,+,https://my.absa.org/RiskGroups,neisseria
meningitidis,2,"b: Low infectious dose, high pathogenicity, common source of laboratory-acquired infections.; f: High risk of aerosol spread. | V | Vaccine available",https://my.absa.org/RiskGroups,neisseria
mucosa,2,,https://my.absa.org/RiskGroups,neisseria
sicca,2,TA,https://my.absa.org/RiskGroups,neisseria
subflava,2,,https://my.absa.org/RiskGroups,neisseria
weaveri,2,,https://my.absa.org/RiskGroups,neisseria
helminthoeca,2,t | PV,https://my.absa.org/RiskGroups,neorickettsia
rosatii,2,Fungi; Ascomycota; Incertae sedis; Incertae sedis; Testinaceae | h,https://my.absa.org/RiskGroups,neotestudina
asteroides,2,ht,https://my.absa.org/RiskGroups,nocardia
brasiliensis,2,ht,https://my.absa.org/RiskGroups,nocardia
